,Country,Year,population,Value,protein_supply,consumption
0,afghanistan,1961,9169.41,200000.0,84.91,0.94
1,afghanistan,1962,9351.440999999999,220000.0,82.98,1.01
2,afghanistan,1963,9543.205,230000.0,77.12,1.04
3,afghanistan,1964,9744.780999999999,240000.0,83.49,1.06
4,afghanistan,1965,9956.32,256000.0,83.86,1.1
5,afghanistan,1966,10174.836,264000.0,79.17,1.11
6,afghanistan,1967,10399.926,300000.0,85.25,1.24
7,afghanistan,1968,10637.063,278000.0,84.1,1.12
8,afghanistan,1969,10893.776000000002,300000.0,84.84,1.17
9,afghanistan,1970,11173.642,274000.0,72.82,1.04
10,afghanistan,1971,11475.445,257000.0,72.7,0.94
11,afghanistan,1972,11791.215,257000.0,75.75,0.91
12,afghanistan,1973,12108.963,263000.0,77.38,0.91
13,afghanistan,1974,12412.95,263000.0,76.99,0.89
14,afghanistan,1975,12689.16,267400.0,77.79,0.88
15,afghanistan,1976,12943.093,267400.0,79.73,0.86
16,afghanistan,1977,13171.306,272000.0,71.13,0.86
17,afghanistan,1978,13341.198,272000.0,74.66,0.85
18,afghanistan,1979,13411.056,278000.0,74.1,0.86
19,afghanistan,1980,13356.511,278000.0,70.67,0.86
20,afghanistan,1981,13171.673,284000.0,70.97,0.89
21,afghanistan,1982,12882.528,284000.0,70.58,0.92
22,afghanistan,1983,12537.73,284000.0,71.42,0.94
23,afghanistan,1984,12204.292,284000.0,69.49,0.97
24,afghanistan,1985,11938.208,284000.0,67.07,1.0
25,afghanistan,1986,11736.178999999998,284000.0,64.87,1.03
26,afghanistan,1987,11604.534,284000.0,76.41,1.04
27,afghanistan,1988,11618.005,284000.0,70.43,1.05
28,afghanistan,1989,11868.877,285000.0,67.9,1.06
29,afghanistan,1990,12412.308,286000.0,66.22,0.99
30,afghanistan,1991,13299.017,287000.0,59.66,0.92
31,afghanistan,1992,14485.546,288000.0,54.72,0.84
32,afghanistan,1993,15816.603000000001,289000.0,56.83,0.77
33,afghanistan,1994,17075.727,292000.0,54.84,0.72
34,afghanistan,1995,18110.657,294000.0,52.96,0.68
35,afghanistan,1996,18853.436999999998,366000.0,54.25,0.82
36,afghanistan,1997,19357.126,366000.0,56.82,0.79
37,afghanistan,1998,19737.765,366000.0,57.78,0.77
38,afghanistan,1999,20170.843999999997,366000.0,56.12,0.75
39,afghanistan,2000,20779.953,300000.0,52.57,0.59
40,afghanistan,2001,21606.987999999998,262000.0,49.67,0.49
41,afghanistan,2002,22600.77,335000.0,53.35,0.71
42,afghanistan,2003,23680.871,327000.0,54.54,0.74
43,afghanistan,2004,24726.683999999997,348000.0,55.24,0.63
44,afghanistan,2005,25654.277000000002,436000.0,53.51,0.71
45,afghanistan,2006,26433.049,294000.0,53.46,0.68
46,afghanistan,2007,27100.536,337200.0,56.0,0.92
47,afghanistan,2008,27722.276,333960.0,56.96,1.05
48,afghanistan,2009,28394.813,335560.0,57.79,0.99
49,afghanistan,2010,29185.507,326880.0,58.14,0.83
50,afghanistan,2011,30117.412999999997,344200.0,58.91,1.09
51,afghanistan,2012,31161.376,360000.0,58.91,0.87
52,afghanistan,2013,32269.589,360000.0,58.25,1.3
53,albania,1961,1685.9360000000001,61000.0,66.11,1.5
54,albania,1962,1737.6860000000001,62000.0,66.12,1.51
55,albania,1963,1790.5729999999999,61000.0,64.58,1.41
